pdb_id,seed,epoch,AUC,AUPR,LogAUC,MCC,recall_1,recall_5,recall_10,recall_25,recall_50,EF_1,EF_5,EF_10,EF_25,EF_50
2ZEB,0,49,0.4750249880654016,0.02430086659210512,15.04936742678998,0.0,0.54421768707483,0.027210884353741496,0.013605442176870748,0.006802721088435374,0.006802721088435374,2.7210884353741496,6.802721088435375,12.244897959183673,25.850340136054424,44.21768707482993
2OAX,0,49,0.5819892829082691,0.06015388694186743,23.559204095108573,0.0,0.6721311475409836,0.2459016393442623,0.09836065573770492,0.06557377049180328,0.04918032786885246,9.836065573770492,16.39344262295082,26.229508196721312,39.34426229508197,57.377049180327866
1RBQ,0,49,0.4938246191848497,0.018803836111055537,12.155345589213184,0.0,0.02,0.94,0.94,0.94,0.94,0.0,2.0,2.0,22.0,44.0
3H0B,0,49,0.5274406400661781,0.02616179315049981,16.974501980806007,0.0,0.1948529411764706,0.08455882352941177,0.051470588235294115,0.051470588235294115,0.051470588235294115,5.147058823529411,10.294117647058822,12.5,27.573529411764707,53.30882352941176
1LRU,0,49,0.5207206902654515,0.01973672263256665,13.58918292213294,0.0,0.039603960396039604,0.6138613861386139,0.6138613861386139,0.6138613861386139,0.6138613861386139,0.0,1.9801980198019802,8.91089108910891,15.841584158415841,61.386138613861384
3ODU,0,49,0.5219577062791905,0.023945328590699134,14.6774586388374,0.0,0.05,0.025,0.025,0.025,0.025,2.5,2.5,5.0,27.500000000000004,52.5
1Q4X,0,49,0.5016594913896676,0.03168171818344035,15.236895260187982,0.0,0.26136363636363635,0.022727272727272728,0.011363636363636364,0.011363636363636364,0.011363636363636364,2.272727272727273,6.8181818181818175,11.363636363636363,20.454545454545457,45.45454545454545
1ULB,0,49,0.37613377963104055,0.016485309191548083,10.397402094855739,0.0,0.21359223300970873,0.1262135922330097,0.1262135922330097,0.1262135922330097,0.1262135922330097,0.0,2.912621359223301,9.70873786407767,18.446601941747574,21.35922330097087
2HVC,0,49,0.6897941180177191,0.03557364192474382,22.184302899775645,0.0,0.0064516129032258064,0.4645161290322581,0.4645161290322581,0.4645161290322581,0.4645161290322581,0.6451612903225806,5.806451612903226,17.419354838709676,54.83870967741935,80.0
3FNE,0,49,0.5127761243582295,0.020177884039386355,13.853453888464344,0.0,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,4.878048780487805,4.878048780487805,26.82926829268293,48.78048780487805
