pdb_id,seed,epoch,AUC,AUPR,LogAUC,MCC,recall_1,recall_5,recall_10,recall_25,recall_50,EF_1,EF_5,EF_10,EF_25,EF_50
2ZEB,0,49,0.4701173506683375,0.020950524051915262,13.603053756903822,0.0,0.02040816326530612,0.006802721088435374,0.006802721088435374,0.006802721088435374,0.006802721088435374,1.3605442176870748,4.761904761904762,8.843537414965986,25.170068027210885,44.21768707482993
2OAX,0,49,0.4174324885016376,0.01411789526064317,11.672789944013612,0.0,0.04918032786885246,0.11475409836065574,0.11475409836065574,0.11475409836065574,0.11475409836065574,0.0,1.639344262295082,11.475409836065573,22.950819672131146,42.62295081967213
1RBQ,0,49,0.5020296418279127,0.021521147041268007,14.373861425302232,0.0,0.18,0.08,0.08,0.08,0.08,0.0,8.0,14.000000000000002,18.0,52.0
3H0B,0,49,0.515736414319628,0.019412636087647994,14.03110503248148,0.0,0.007352941176470588,0.007352941176470588,0.007352941176470588,0.007352941176470588,0.007352941176470588,0.7352941176470588,2.941176470588235,6.25,23.52941176470588,52.57352941176471
1LRU,0,49,0.49899478801063474,0.020816687958162924,14.55194406674964,0.0,0.019801980198019802,0.21782178217821782,0.21782178217821782,0.21782178217821782,0.21782178217821782,0.0,3.9603960396039604,12.871287128712872,27.722772277227726,49.504950495049506
3ODU,0,49,0.44697716658017644,0.021564970441370533,13.662482921821944,0.0,0.175,0.1,0.1,0.1,0.1,0.0,10.0,12.5,17.5,47.5
1Q4X,0,49,0.4585677813376052,0.022827411645371568,14.362277362258261,0.0,0.5909090909090909,0.03409090909090909,0.011363636363636364,0.011363636363636364,0.011363636363636364,1.1363636363636365,5.681818181818182,12.5,25.0,43.18181818181818
1ULB,0,49,0.3829761188943359,0.019499818834732667,11.652830017497926,0.0,0.24271844660194175,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.9708737864077669,6.796116504854369,8.737864077669903,17.475728155339805,33.00970873786408
2HVC,0,49,0.5008918331940063,0.01897669622217595,13.385490332785796,0.0,0.04516129032258064,0.6,0.6,0.6,0.6,0.0,3.225806451612903,5.806451612903226,21.935483870967744,50.967741935483865
3FNE,0,49,0.4453146305891839,0.016358621024778204,10.037158357304774,0.0,0.14634146341463414,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683,0.0,0.0,0.0,14.634146341463413,39.02439024390244
2JK7,0,49,0.5042410067475266,0.021248022697326126,15.093944634400088,0.0,0.08163265306122448,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,1.0204081632653061,6.122448979591836,8.16326530612245,33.6734693877551,51.02040816326531
3C4F,0,49,0.5328882110135776,0.023110454574455548,16.329253125804314,0.0,0.00819672131147541,0.18032786885245902,0.18032786885245902,0.18032786885245902,0.18032786885245902,0.0,6.557377049180328,17.21311475409836,29.508196721311474,57.377049180327866
3F07,0,49,0.5385336430696499,0.02884271218899135,16.187403421142264,0.0,0.030303030303030304,0.01818181818181818,0.012121212121212121,0.012121212121212121,0.012121212121212121,1.8181818181818181,5.454545454545454,10.909090909090908,24.242424242424242,55.15151515151515
