pdb_id,seed,epoch,AUC,AUPR,LogAUC,MCC,recall_1,recall_5,recall_10,recall_25,recall_50,EF_1,EF_5,EF_10,EF_25,EF_50
2ZEB,0,49,0.5,0.019750100765820233,14.037982551220487,0.0,1.0,1.0,1.0,1.0,1.0,0.6802721088435374,2.0408163265306123,4.081632653061225,13.60544217687075,61.904761904761905
2OAX,0,49,0.5,0.016158940397350992,18.346311366949404,0.0,1.0,1.0,1.0,1.0,1.0,3.278688524590164,4.918032786885246,8.19672131147541,21.311475409836063,83.60655737704919
1RBQ,0,49,0.5,0.02016942315449778,14.993010022083485,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,90.0
3H0B,0,49,0.5,0.019533213644524237,16.962037530861643,0.0,1.0,1.0,1.0,1.0,1.0,1.4705882352941175,5.514705882352941,8.823529411764707,19.11764705882353,74.63235294117648
1LRU,0,49,0.5,0.01988188976377953,18.406083993316646,0.0,1.0,1.0,1.0,1.0,1.0,0.9900990099009901,4.9504950495049505,6.9306930693069315,14.85148514851485,94.05940594059405
3ODU,0,49,0.5,0.020335536349771224,17.985297968743314,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.5,7.5,10.0,97.5
1Q4X,0,49,0.5,0.01901469317199654,16.93380456757299,0.0,1.0,1.0,1.0,1.0,1.0,1.1363636363636365,3.4090909090909087,5.681818181818182,19.318181818181817,81.81818181818183
1ULB,0,49,0.5,0.020355731225296443,15.430178365598588,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9708737864077669,0.9708737864077669,98.05825242718447
2HVC,0,49,0.5,0.019785550165943324,16.734505005121786,0.0,1.0,1.0,1.0,1.0,1.0,0.6451612903225806,3.225806451612903,3.225806451612903,7.741935483870968,93.54838709677419
3FNE,0,49,0.5,0.019542421353670163,14.987026364944976,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.878048780487805,7.317073170731707,26.82926829268293,51.21951219512195
2JK7,0,49,0.5,0.01949085123309467,15.157788167523158,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.061224489795918,6.122448979591836,85.71428571428571
3C4F,0,49,0.5,0.01945773524720893,12.649862029610492,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.819672131147541,5.737704918032787,17.21311475409836,49.18032786885246
3F07,0,49,0.5,0.019774688398849473,14.823052200625416,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.2121212121212122,2.4242424242424243,5.454545454545454,82.42424242424242
2F4J,0,49,0.5,0.019787908603913853,13.628779456821626,0.0,1.0,1.0,1.0,1.0,1.0,1.1049723756906076,2.7624309392265194,6.077348066298343,22.65193370165746,50.82872928176796
3OZJ,0,49,0.5,0.01831861301929997,17.461834362961167,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.6785714285714284,5.357142857142857,11.607142857142858,93.75
3B2R,0,49,0.5,0.013744999487126885,16.60305305335746,0.0,1.0,1.0,1.0,1.0,1.0,0.3731343283582089,2.6119402985074625,5.970149253731343,14.17910447761194,86.19402985074626
1ZW5,0,49,0.5,0.020070838252656435,16.58922349225613,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.3529411764705883,3.5294117647058822,11.76470588235294,95.29411764705881
2RL5,0,49,0.5,0.019643117615597804,16.027301084303073,0.0,1.0,1.0,1.0,1.0,1.0,1.2376237623762376,3.4653465346534658,7.1782178217821775,14.356435643564355,75.24752475247524
1S3B,0,49,0.5,0.02230414746543779,17.607799697995844,0.0,1.0,1.0,1.0,1.0,1.0,2.479338842975207,5.785123966942149,12.396694214876034,30.57851239669421,62.8099173553719
3D94,0,49,0.5,0.0149708899362351,12.199365509555978,0.0,1.0,1.0,1.0,1.0,1.0,0.9259259259259258,3.7037037037037033,5.555555555555555,10.185185185185185,44.44444444444444
3PY1,0,49,0.5,0.019551900646135774,16.717912234255863,0.0,1.0,1.0,1.0,1.0,1.0,1.7167381974248928,4.935622317596566,9.2274678111588,21.244635193133046,69.31330472103005
